1,1,Badminton Mixed Doubles
2,2,Athletics Women's Javelin Throw
3,3,Basketball Men's Basketball
4,4,Judo Men's Extra-Lightweight
5,5,Football Men's Football
6,6,Tug-Of-War Men's Tug-Of-War
7,7,Speed Skating Women's 500 metres
8,7,"Speed Skating Women's 1,000 metres"
9,8,Cross Country Skiing Men's 10 kilometres
10,8,Cross Country Skiing Men's 50 kilometres
11,8,Cross Country Skiing Men's 10/15 kilometres Pursuit
12,8,Cross Country Skiing Men's 4 x 10 kilometres Relay
13,8,Cross Country Skiing Men's 30 kilometres
14,2,Athletics Women's 100 metres
15,2,Athletics Women's 4 x 100 metres Relay
16,9,Ice Hockey Men's Ice Hockey
17,10,Swimming Men's 400 metres Freestyle
18,1,Badminton Men's Singles
19,11,Sailing Women's Windsurfer
20,12,Biathlon Women's 7.5 kilometres Sprint
21,10,Swimming Men's 200 metres Breaststroke
22,10,Swimming Men's 400 metres Breaststroke
23,13,Gymnastics Men's Individual All-Around
24,13,Gymnastics Men's Team All-Around
25,13,Gymnastics Men's Floor Exercise
26,13,Gymnastics Men's Horse Vault
27,13,Gymnastics Men's Parallel Bars
28,13,Gymnastics Men's Horizontal Bar
29,13,Gymnastics Men's Rings
30,13,Gymnastics Men's Pommelled Horse
31,2,Athletics Men's Shot Put
32,14,"Art Competitions Mixed Sculpturing, Unknown Event"
33,15,Alpine Skiing Men's Downhill
34,15,Alpine Skiing Men's Super G
35,15,Alpine Skiing Men's Giant Slalom
36,15,Alpine Skiing Men's Slalom
37,15,Alpine Skiing Men's Combined
38,16,Handball Women's Handball
39,17,Weightlifting Women's Super-Heavyweight
40,18,"Wrestling Men's Light-Heavyweight, Greco-Roman"
41,7,Speed Skating Men's 500 metres
42,7,"Speed Skating Men's 1,500 metres"
43,13,"Gymnastics Men's Team All-Around, Free System"
44,19,Luge Women's Singles
45,20,Water Polo Men's Water Polo
46,11,Sailing Mixed Three Person Keelboat
47,21,Hockey Women's Hockey
48,22,Rowing Men's Lightweight Double Sculls
49,2,Athletics Men's Pole Vault
50,2,Athletics Men's High Jump
51,11,Sailing Men's Two Person Dinghy
52,2,"Athletics Men's 1,500 metres"
53,23,Bobsleigh Men's Four
54,10,Swimming Men's 100 metres Butterfly
